ID ceppaia	stazione	angolo	distanza	profilo regolare	profilo concavo	profilo convesso	distanza concorrente 1	distanza concorrente 2	distanza concorrente 3	distanza concorrente 4	distanza concorrente 5
1	4	10	5.10	1	0	0	6.00	5.10	5.70	4.60	5.00
2	4	350	7.40	0	0	1	7.40	3.60	7.50	5.20	10.50
3	4	312	12.00	1	0	0	8.10	5.30	3.50	6.00	9.50
4	4	280	10.90	1	0	0	3.80	6.10	6.30	5.80	8.10
5	4	265	11.80	1	0	0	3.10	6.30	4.20	5.20	4.70
6	4	246	15.20	1	0	0	4.50	4.60	5.20	4.60	5.60
7	4	229	15.00	0	0	1	4.90	5.10	5.00	6.00	6.60
8	4	203	15.50	0	0	1	4.90	5.70	5.70	6.00	6.80
9	4	190	10.60	1	0	0	3.60	4.20	5.60	7.50	8.40
10	4	210	2.80	1	0	0	2.80	3.60	6.50	7.20	7.40
11	4	65	8.20	1	0	0	2.60	5.40	5.20	6.50	8.10
12	4	100	9.70	0	1	0	3.00	3.80	4.20	6.00	6.40
13	4	40	12.30	0	0	1	2.90	4.40	8.10	8.20	9.70
14	10	344	5.20	0	1	0	5.20	3.80	5.40	5.00	6.60
15	10	292	6.00	1	0	0	3.60	4.80	5.00	5.00	6.00
16	10	217	2.20	1	0	0	2.20	5.00	5.70	6.40	6.80
17	10	216	6.10	0	1	0	3.20	4.20	6.10	4.70	6.90
18	10	226	9.30	0	0	1	4.00	5.40	2.90	5.80	7.20
19	10	352	7.10	1	0	0	4.70	5.20	5.40	5.80	7.00
20	10	156	13.20	1	0	0	4.40	5.90	5.20	6.50	6.70
21	10	45	7.20	1	0	0	3.00	4.90	6.60	7.20	7.40
22	10	40	15.00	1	0	0	3.90	4.20	6.50	6.80	9.50
23	10	1	15.00	1	0	0	3.00	2.60	6.50	6.70	7.30
24	10	3	19.30	1	0	0	4.00	3.70	6.80	7.80	7.10
25	10	355	14.30	1	0	0	2.20	4.50	4.70	5.00	5.20
26	10	348	9.50	1	0	0	3.20	3.50	4.00	4.80	7.60
27	18	214	4.70	1	0	0	4.70	3.70	5.70	7.20	7.70
28	18	166	10.60	1	0	0	6.10	6.50	7.40	7.90	7.90
29	18	199	12.20	1	0	0	4.20	2.40	6.20	6.60	6.90
30	18	198	15.50	1	0	0	3.00	2.00	3.60	5.20	6.50
31	18	135	14.40	1	0	0	3.50	3.50	6.60	6.80	7.90
32	18	120	15.40	1	0	0	3.30	4.10	5.90	6.60	6.80
33	18	120	12.30	0	1	0	3.00	3.60	2.00	7.10	7.40
34	18	97	16.30	1	0	0	3.00	5.00	5.60	6.70	6.70
35	18	90	9.40	1	0	0	2.10	5.90	6.20	9.40	9.40
36	18	75	9.80	1	0	0	1.50	6.10	7.00	7.30	8.10
37	18	240	7.20	1	0	0	4.50	3.60	5.30	7.20	7.80
38	18	356	9.50	1	0	0	3.20	3.90	1.40	2.40	7.00
39	18	355	11.10	0	0	1	1.00	3.60	2.40	2.00	4.10
40	28	325	2.70	1	0	0	2.70	3.30	5.70	7.30	8.00
41	28	342	8.90	1	0	0	3.70	3.80	6.10	8.50	8.90
42	28	326	10.40	1	0	0	3.70	6.70	7.50	7.60	8.30
43	28	13	9.20	1	0	0	4.10	6.40	4.70	7.10	7.70
44	28	45	10.20	1	0	0	3.10	4.80	5.00	5.50	7.10
45	28	45	13.30	0	1	0	3.00	5.60	6.00	7.00	7.30
46	28	69	18.80	0	0	1	3.30	5.20	6.60	7.30	8.20
47	28	81	16.70	0	0	1	5.10	3.80	4.60	5.00	6.40
48	28	105	14.10	1	0	0	3.90	1.70	6.20	6.90	7.00
49	28	123	15.20	1	0	0	4.50	4.10	5.10	4.40	5.70
50	28	143	13.20	0	0	1	3.60	3.60	5.30	5.80	6.80
51	28	114	7.50	1	0	0	3.60	5.50	5.60	6.90	7.20
52	28	133	3.40	1	0	0	3.40	5.70	6.10	6.10	3.90
53	28	179	8.30	0	0	1	1.00	4.20	6.30	6.70	6.90
54	28	190	7.30	1	0	0	1.50	4.70	6.00	6.20	6.50
55	28	247	3.50	1	0	0	3.50	3.40	5.90	6.20	6.00
56	28	218	10.00	1	0	0	4.60	4.90	6.10	6.00	7.20
57	28	271	13.00	0	0	1	5.70	5.60	5.90	5.90	6.30
58	28	294	15.80	1	0	0	4.10	5.00	6.50	6.90	6.90
59	34	191	3.50	1	0	0	3.50	4.20	4.50	6.70	6.90
60	34	230	6.70	0	1	0	4.30	6.70	6.80	7.00	7.20
61	34	234	14.10	1	0	0	5.10	6.30	6.40	6.40	7.40
62	34	263	12.80	1	0	0	5.10	5.50	6.70	7.50	7.50
63	34	296	10.20	1	0	0	5.00	5.30	5.50	6.10	7.30
64	34	325	10.10	1	0	0	1.50	3.10	3.10	4.40	4.90
65	34	352	9.60	1	0	0	2.70	3.60	4.20	4.90	5.40
66	34	348	12.60	1	0	0	3.10	1.50	4.10	4.70	5.60
67	34	19	15.20	1	0	0	2.60	4.50	5.60	5.30	6.70
68	34	1	17.50	1	0	0	4.40	3.70	5.50	6.00	6.40
69	34	15	5.80	1	0	0	1.50	4.20	5.80	6.70	7.40
70	34	23	3.80	1	0	0	2.30	3.80	3.90	6.50	6.50
71	34	102	5.20	1	0	0	3.20	4.50	5.20	5.90	6.00
72	34	112	8.90	1	0	0	3.10	3.90	4.50	8.00	8.20
73	34	90	9.30	1	0	0	3.70	3.80	6.40	7.30	7.70
74	57	135	3.80	1	0	0	2.80	3.80	4.80	4.60	5.00
75	57	81	5.20	1	0	0	3.40	3.60	4.00	4.20	5.20
76	57	53	4.00	1	0	0	4.00	2.10	5.40	5.60	6.30
77	57	137	10.50	0	0	1	3.10	3.50	4.20	4.50	4.70
78	57	98	7.00	0	0	1	2.20	4.80	5.40	5.50	6.50
79	57	160	8.20	1	0	0	3.30	2.50	3.40	4.20	5.00
80	57	183	9.00	0	0	1	4.80	2.80	5.90	6.10	6.60
81	57	226	7.10	0	0	1	3.40	2.30	5.20	4.80	5.80
82	57	265	6.60	0	0	1	3.00	1.60	5.30	5.90	6.60
83	57	344	6.10	1	0	0	4.50	5.80	6.10	6.30	6.90
84	57	6	12.60	1	0	0	2.50	4.70	3.70	7.40	7.70
85	57	21	9.40	1	0	0	4.40	5.40	5.80	5.90	5.90
86	58	220	1.30	0	1	0	1.30	1.00	6.00	6.90	7.40
87	58	175	3.20	0	1	0	3.20	1.60	5.20	6.50	7.60
88	58	245	8.00	1	0	0	5.20	5.30	6.20	7.00	7.10
89	58	282	8.00	0	1	0	3.70	4.40	5.00	6.70	6.90
90	58	311	5.30	1	0	0	3.80	4.40	5.30	6.00	6.80
91	58	329	9.40	1	0	0	4.00	5.00	3.50	5.50	6.70
92	58	320	13.00	1	0	0	2.40	4.10	4.20	5.70	6.20
93	58	293	12.80	1	0	0	5.70	5.20	5.60	5.80	7.10
94	59	158	1.60	1	0	0	2.70	3.50	2.50	1.30	3.00
95	59	120	3.00	1	0	0	1.90	0.50	3.30	3.50	3.60
96	59	100	3.00	1	0	0	1.70	3.70	3.10	4.70	4.20
97	59	150	6.00	1	0	0	3.80	3.80	3.20	3.90	4.50
98	59	160	10.20	1	0	0	4.50	2.40	3.00	3.90	4.60
99	59	144	10.30	0	1	0	2.40	3.90	1.90	3.80	4.60
100	59	144	11.80	1	0	0	1.70	3.50	3.10	3.50	3.50
101	59	127	12.30	1	0	0	4.20	1.50	3.90	4.50	5.30
102	59	140	16.80	1	0	0	2.80	2.70	2.70	3.50	4.40
103	59	146	14.30	1	0	0	4.10	1.40	3.70	4.30	5.40
104	59	108	12.00	1	0	0	4.00	0.90	4.00	4.20	4.10
105	59	108	12.00	1	0	0	1.20	4.00	4.20	4.50	4.70
106	59	90	13.00	1	0	0	4.20	3.20	3.20	3.50	4.00
107	59	72	12.20	1	0	0	2.40	3.60	3.90	4.60	5.40
108	59	72	8.30	0	1	0	3.70	1.20	1.60	4.70	4.70
109	59	66	7.20	1	0	0	0.80	2.90	3.20	3.20	4.50
110	59	96	8.40	0	1	0	3.10	4.00	4.20	4.50	5.10
111	59	52	5.30	1	0	0	3.90	3.60	2.60	4.00	1.10
112	59	44	5.30	1	0	0	1.20	3.10	3.10	3.60	4.50
113	59	11	5.80	1	0	0	3.00	3.00	4.50	4.80	5.00
114	59	8	3.00	1	0	0	1.70	2.50	2.10	2.90	4.70
115	59	28	1.50	1	0	0	2.90	3.20	3.30	3.40	1.30
116	60	310	4.20	1	0	0	4.20	4.20	4.10	3.80	4.60
117	60	310	8.20	1	0	0	4.00	2.70	2.20	3.80	4.90
118	60	322	137.00	1	0	0	4.60	3.70	4.10	5.20	6.10
119	60	305	10.70	1	0	0	2.70	1.10	4.20	4.10	7.60
120	60	289	7.30	1	0	0	2.80	3.60	3.00	3.70	4.20
121	60	289	12.30	1	0	0	4.70	2.20	2.70	3.60	4.70
122	60	285	12.30	0	1	0	2.50	2.30	3.80	3.80	5.70
123	60	263	9.10	1	0	0	1.70	4.10	4.10	5.10	5.60
124	60	263	10.40	1	0	0	6.50	1.70	3.90	4.00	5.50
125	60	226	4.30	1	0	0	3.90	3.50	2.80	4.30	4.40
126	60	230	7.50	1	0	0	2.40	4.00	2.00	4.30	6.40
127	60	235	9.60	1	0	0	1.90	3.80	3.10	4.50	5.10
128	60	190	8.00	0	1	0	1.50	3.30	4.30	4.70	5.20
129	60	163	9.40	1	0	0	3.80	1.50	2.20	2.90	4.60
130	60	152	12.00	0	1	0	3.60	5.70	2.80	4.00	2.70
131	60	148	8.30	1	0	0	5.70	2.90	1.20	3.90	4.20
132	60	127	9.10	1	0	0	7.20	4.50	3.20	3.20	5.00
133	60	105	12.20	1	0	0	3.40	1.40	4.90	5.40	6.50
134	61	73	2.00	1	0	0	5.10	4.60	3.50	4.00	5.00
135	61	44	7.00	1	0	0	4.90	2.80	3.50	5.00	4.90
136	61	25	4.80	1	0	0	3.40	1.80	4.50	3.70	5.30
137	61	10	8.70	1	0	0	4.20	3.90	3.10	3.60	4.90
138	61	345	6.30	0	1	0	3.50	3.10	3.10	2.10	4.60
139	61	321	6.40	1	0	0	1.80	2.10	2.30	3.70	4.80
140	61	319	4.30	1	0	0	1.40	3.80	3.30	2.50	4.40
141	61	301	2.40	1	0	0	3.70	3.90	2.00	4.80	4.00
142	61	240	4.50	1	0	0	3.80	3.50	3.40	0.50	3.90
143	61	240	5.50	1	0	0	3.70	3.60	3.10	0.50	4.00
144	61	239	8.10	1	0	0	1.90	2.80	2.70	3.50	4.10
145	61	210	7.20	0	0	1	3.60	3.80	3.70	3.20	4.00
146	61	178	3.90	1	0	0	2.60	3.30	3.20	3.50	4.80
147	61	177	7.00	0	0	1	3.30	3.50	2.00	3.00	2.60
148	61	185	9.50	1	0	0	3.30	1.50	2.30	3.50	5.90
149	61	197	10.30	0	0	1	0.90	2.20	2.40	2.50	2.50
150	61	200	13.70	1	0	0	3.80	3.30	3.10	4.80	5.20
