Ceppaia;ID pollone;Diametro;Vitalità;
1;1;150;v;
2;1;78;v;
2;2;12;t;
2;3;12;t;
2;4;12;t;
2;5;12;t;
2;6;12;t;
3;1;85;v;
3;2;5;v;
3;3;8;v;
3;4;10;v;
3;5;12;v;
3;6;20;t;
3;7;20;t;
3;8;20;t;
3;9;20;t;
4;1;38;v;
4;2;5;v;
5;1;50;v;
5;2;25;t;
5;3;25;t;
5;4;25;t;
5;5;25;t;
5;6;25;t;
5;7;25;t;
5;8;25;t;
5;9;25;t;
5;10;25;t;
5;11;25;t;
5;12;25;t;
5;13;25;t;
6;1;6;v;
6;2;4;v;
6;3;3;v;
6;4;3;v;
6;5;48;v;
6;6;3;v;
6;7;4;v;
6;8;13;t;
7;1;12;m;
7;2;6;m;
7;3;65;v;
7;4;15;t;
7;5;15;t;
7;6;15;t;
7;7;15;t;
8;1;7;m;
8;2;10;m;
8;3;12;v;
8;4;50;v;
8;5;15;t;
9;1;13;m;
9;2;42;v;
9;3;52;v;
9;4;9;v;
9;5;15;t;
9;6;15;t;
9;7;15;t;
9;8;15;t;
9;9;15;t;
10;1;55;m;
10;2;10;m;
10;3;6;m;
10;4;9;m;
10;5;6;m;
10;6;10;t;
11;1;39;v;
11;2;36;v;
11;3;35;v;
11;4;5;m;
11;5;10;m;
11;6;13;v;
11;7;40;t;
11;8;30;t;
12;1;9;m;
12;2;36;v;
12;3;17;m;
12;4;6;v;
12;5;4;m;
12;6;8;t;
12;7;8;t;
13;1;42;v;
13;2;5;v;
13;3;8;v;
13;4;5;m;
13;5;4;m;
13;6;4;m;
13;7;8;v;
13;8;13;v;
13;9;25;t;
14;1;50;v;
14;2;19;m;
14;3;5;m;
14;4;20;m;
14;5;20;t;
14;6;10;t;
14;7;20;t;
14;8;25;t;
14;9;12;t;
14;10;16;t;
15;1;5;v;
15;2;42;v;
15;3;3;m;
15;4;3;m;
16;1;50;v;
16;2;7;v;
16;3;3;m;
16;4;13;t;
16;5;13;t;
16;6;13;t;
16;7;15;t;
17;1;52;v;
17;2;6;v;
17;3;5;v;
17;4;4;v;
17;5;5;m;
17;6;5;m;
17;7;3;m;
17;8;5;v;
17;9;44;t;
17;10;16;t;
17;11;12;t;
18;1;52;v;
18;2;5;v;
18;3;9;t;
18;4;8;t;
18;5;9;t;
19;1;67;v;
19;2;5;v;
19;3;7;v;
19;4;3;v;
